Id,Label,0,1,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
868073924175-77,Związek Przedsiębiorców i Pracodawców,org,1,8,0.196537,0.207503,120.091633
595328413083-91,Association Internationale de la Mutualité,org,1,9,0.193564,0.205954,61.296086
96530144280-28,RPP Group,org,1,8,0.208024,0.222334,583.929094
568027349084-26,European Startup Network ivzw,org,3,8,0.184878,0.195873,677.539238
03506017714-81,Deutsche Umwelthilfe e.V.,org,1,8,0.219806,0.236302,974.845987
79360311166-84,Eurochild AISBL,org,-1,9,0.171294,0.179873,204.52365
8999533555-91,Robert Bosch GmbH,org,0,8,0.231124,0.250637,1409.128918
9171899949-17,JPMorgan Chase & Co.,org,3,8,0.209036,0.226854,871.310537
064616126640-05,Air France-KLM,org,0,7,0.245661,0.267595,3885.099291
823171519707-31,The German Marshall Fund of the United States - The Transatlantic Foundation,org,2,8,0.20188,0.215313,142.694328
708107818892-23,Rheinmetall Group,org,0,8,0.219887,0.235411,101.068909
724216345172-04,Tehy ry,org,4,8,0.209181,0.225896,322.98416
32018754890-28,DSW (Deutsche Stiftung Weltbevoelkerung),org,5,9,0.196923,0.210556,796.106809
39705603497-38,Technology Industries of Finland (Teknologiateollisuus ry),org,4,8,0.228403,0.24878,1136.980181
62505293737-81,Boeing Belgium SRL,org,0,8,0.215321,0.231222,815.612184
96645517357-19,ClientEarth AISBL,org,0,7,0.234092,0.254675,1782.756723
823871417098-42,Airbnb Ireland UC,org,2,8,0.194001,0.204879,105.750957
015415038748-78,"BDE Bundesverband der Deutschen Entsorgungs-, Wasser- und Kreislaufwirtschaft e. V.",org,0,8,0.224734,0.243089,341.831618
68208004617-79,YARA BELGIUM S.A.,org,0,8,0.215785,0.233111,2320.162435
63322037415-37,AnimalhealthEurope,org,1,9,0.201744,0.215764,526.023549
450344351784-66,European Steel Processors Association,org,0,9,0.18291,0.194016,334.336262
51894741860-19,Nederlandse Vereniging van Banken / Dutch Banking Association,org,3,9,0.191958,0.204157,337.606069
1074382679-01,AIM - European Brands Association,org,0,7,0.222161,0.239273,1216.874938
9832909575-41,Greenpeace European Unit,org,1,8,0.212883,0.229181,736.409473
726109217329-25,Notre Europe - Institut Jacques Delors / Notre Europe - Jacques Delors Institute,org,0,8,0.241421,0.258907,1067.224503
160101837530-38,Techem Energy Services GmbH,org,0,8,0.226085,0.242932,85.542941
73491621553-11,European Regions Airline Association Ltd.,org,1,8,0.199934,0.213892,424.795271
60340504060-88,International Consolidated Airlines Group,org,0,8,0.212582,0.227794,102.95928
162360211825-62,Teosto,org,4,8,0.226,0.243897,401.049575
78891371297-34,European Transport Safety Council,org,1,8,0.219325,0.234857,403.750119
99336382936-11,Society of Audiovisual Authors,org,2,8,0.202151,0.215664,1740.718996
346524751312-39,American Chamber of Commerce in Belgium,org,1,8,0.230239,0.245415,671.395808
67820416722-09,Alber & Geiger,org,0,8,0.202969,0.216876,783.943749
1083162721-43,Stichting BirdLife Europe,org,-1,8,0.186598,0.197705,222.796544
665106096817-70,VECTURIS,org,3,8,0.202151,0.215749,17.322517
271912611231-56,Deutsche Bank AG,org,3,8,0.222407,0.242215,4689.126725
9624415524-28,UNIFE,org,0,7,0.237044,0.259023,3147.588117
196997510883-76,DER MITTELSTANDSVERBUND,org,0,8,0.212207,0.227276,162.519237
81610896372-23,The Brewers of Europe,org,1,8,0.212132,0.225322,657.124981
1274604847-34,Confederation of Finnish Industries EK,org,4,7,0.250677,0.274765,7907.892878
37943526882-24,Finance Watch,org,3,8,0.217266,0.235493,2052.707449
20884001341-42,Deutsche Börse AG,org,3,8,0.198482,0.21108,191.098813
780717547356-52,Novonesis A/S,org,0,8,0.223233,0.241659,1386.415165
9931891670-73,Federazione Nazionale dell'Industria Chimica italiana,org,0,9,0.178672,0.186568,45.790256
766057749619-15,Cia Agricoltori italiani,org,1,8,0.196665,0.208508,289.862834
16822412339-79,Syngenta Crop Protection AG,org,1,9,0.189479,0.201307,169.406626
229816652363-84,Alliance for Middle East Peace,org,2,8,0.204975,0.218415,446.13998
865770448775-87,Svensk Handel,org,1,9,0.19809,0.211715,522.370592
6774178922-55,ARD-Verbindungsbüro Brüssel,org,2,8,0.211238,0.227531,373.060023
34478709670-34,CONCORD Europe,org,5,9,0.177198,0.186965,197.808753
33498019160-40,Specialised Nutrition Europe,org,1,8,0.199469,0.210533,173.428328
1771817758-48,Bundesverband der Deutschen Industrie e.V.,org,0,8,0.258321,0.285543,12128.306266
60404068097-81,Heinrich Böll Stiftung e.V.,org,2,8,0.226426,0.24412,2777.607701
681044352479-62,Mathias Corvinus Collegium Brussels AISBL,org,-1,8,0.196923,0.209334,2165.078412
258845020786-10,Gilead Sciences,org,1,9,0.175903,0.185294,24.443104
685410422002-19,Platform for Better Oral Health in Europe,org,0,8,0.218608,0.233245,533.666143
339569615567-89,European Council on Foreign Relations,org,0,8,0.205045,0.218778,1712.079582
431900624666-91,Institute for Climate Economics,org,0,8,0.21703,0.230974,83.165358
504746139325-07,European Armenian Federation for Justice and Democracy,org,4,8,0.213336,0.229619,889.810929
94035285059-91,International Union of Tenants,org,3,9,0.186136,0.196215,387.897023
17804464809-28,Euronext,org,3,7,0.239976,0.261509,3286.248449
64628738622-42,Ecologistas en Accion,org,1,8,0.211758,0.224596,96.153589
953427147980-05,ORGANIZACION NACIONAL DE CIEGOS DE ESPAÑA,org,1,9,0.191469,0.202413,155.319766
74574295642-60,Volvo Car Corporation AB,org,1,8,0.235929,0.256611,3933.294641
159590251110-94,Gasgrid Finland Oy,org,4,9,0.184935,0.197206,645.685215
687627626720-47,TransnetBW GmbH,org,0,8,0.226085,0.245653,280.035962
55820581197-35,SMEunited aisbl,org,0,8,0.234366,0.253522,2164.306382
1805107590-28,International Air Transport Association,org,0,9,0.184878,0.195377,191.004414
25901146020-53,Aalto University / Aalto-korkeakoulusäätiö,org,4,8,0.217659,0.235373,440.765561
171598852000-42,Free Russia Foundation,org,2,8,0.199801,0.212515,134.437508
002977215945-85,Ryanair Holdings,org,0,7,0.224818,0.242812,1492.533002
807912421050-91,Airlines for Europe,org,0,8,0.231302,0.250151,1959.571523
