name,party,country,norm_name
Eero HEINÄLUOMA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Finland,EERO HEINÄLUOMA
Anna-Maja HENRIKSSON,Renew Europe Group,Finland,ANNA-MAJA HENRIKSSON
Niclas HERBST,Group of the European People's Party (Christian Democrats),Germany,NICLAS HERBST
Esther HERRANZ GARCÍA,Group of the European People's Party (Christian Democrats),Spain,ESTHER HERRANZ GARCÍA
Krzysztof HETMAN,Group of the European People's Party (Christian Democrats),Poland,KRZYSZTOF HETMAN
Monika HOHLMEIER,Group of the European People's Party (Christian Democrats),Germany,MONIKA HOHLMEIER
Martin HOJSÍK,Renew Europe Group,Slovakia,MARTIN HOJSÍK
Pär HOLMGREN,Group of the Greens/European Free Alliance,Sweden,PÄR HOLMGREN
György HÖLVÉNYI,Patriots for Europe Group,Hungary,GYÖRGY HÖLVÉNYI
Alicia HOMS GINEL,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,ALICIA HOMS GINEL
Sérgio HUMBERTO,Group of the European People's Party (Christian Democrats),Portugal,SÉRGIO HUMBERTO
Ivars IJABS,Renew Europe Group,Latvia,IVARS IJABS
Céline IMART,Group of the European People's Party (Christian Democrats),France,CÉLINE IMART
Evin INCIR,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sweden,EVIN INCIR
Paolo INSELVINI,European Conservatives and Reformists Group,Italy,PAOLO INSELVINI
Diana IOVANOVICI ŞOŞOACĂ,Non-attached Members,Romania,DIANA IOVANOVICI ŞOŞOACĂ
Patryk JAKI,European Conservatives and Reformists Group,Poland,PATRYK JAKI
Hana JALLOUL MURO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,HANA JALLOUL MURO
France JAMET,Patriots for Europe Group,France,FRANCE JAMET
Adam JARUBAS,Group of the European People's Party (Christian Democrats),Poland,ADAM JARUBAS
